E_lab	E*/MeV	174Hg	175Hg	176Hg	177Hg	178Hg	179Hg	180Hg
351.158	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.417E-07	0.289E-07	0.510E-13
353.115	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.189E-06	0.519E-07	0.000E+00
355.072	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.547E-04	0.116E-03	0.768E-07
357.028	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.356E-03	0.672E-03	0.924E-06
358.985	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.157E-02	0.193E-02	0.262E-05
360.941	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.640E-02	0.456E-02	0.455E-05
362.898	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.246E-01	0.102E-01	0.717E-05
364.854	32.0	0.000E+00	0.000E+00	0.000E+00	0.263E-07	0.882E-01	0.220E-01	0.109E-04
366.811	33.0	0.000E+00	0.000E+00	0.000E+00	0.682E-05	0.279E+00	0.440E-01	0.159E-04
368.767	34.0	0.000E+00	0.000E+00	0.000E+00	0.255E-03	0.705E+00	0.767E-01	0.207E-04
370.724	35.0	0.000E+00	0.000E+00	0.000E+00	0.280E-02	0.129E+01	0.106E+00	0.218E-04
372.680	36.0	0.000E+00	0.000E+00	0.000E+00	0.128E-01	0.176E+01	0.113E+00	0.165E-04
374.637	37.0	0.000E+00	0.000E+00	0.000E+00	0.340E-01	0.192E+01	0.954E-01	0.458E-05
376.593	38.0	0.000E+00	0.000E+00	0.000E+00	0.669E-01	0.181E+01	0.671E-01	0.000E+00
378.550	39.0	0.000E+00	0.000E+00	0.000E+00	0.110E+00	0.155E+01	0.420E-01	0.000E+00
380.506	40.0	0.000E+00	0.000E+00	0.000E+00	0.162E+00	0.124E+01	0.246E-01	0.000E+00
382.463	41.0	0.000E+00	0.000E+00	0.000E+00	0.219E+00	0.951E+00	0.139E-01	0.000E+00
384.419	42.0	0.000E+00	0.000E+00	0.754E-07	0.278E+00	0.703E+00	0.772E-02	0.000E+00
386.376	43.0	0.000E+00	0.000E+00	0.175E-05	0.336E+00	0.505E+00	0.425E-02	0.000E+00
388.332	44.0	0.000E+00	0.000E+00	0.176E-04	0.388E+00	0.355E+00	0.232E-02	0.000E+00
390.289	45.0	0.000E+00	0.000E+00	0.103E-03	0.430E+00	0.244E+00	0.126E-02	0.000E+00
392.245	46.0	0.000E+00	0.000E+00	0.404E-03	0.458E+00	0.165E+00	0.684E-03	0.000E+00
394.202	47.0	0.000E+00	0.000E+00	0.116E-02	0.467E+00	0.109E+00	0.370E-03	0.000E+00
396.158	48.0	0.000E+00	0.000E+00	0.264E-02	0.456E+00	0.715E-01	0.199E-03	0.000E+00
