E_lab	E*/MeV	196Bi	197Bi	198Bi	199Bi	200Bi	201Bi	202Bi	203Bi
145.765	30.0	0.000E+00	0.000E+00	0.000E+00	0.234E-09	0.587E-08	0.533E-09	0.128E-11	0.643E-10
147.007	31.0	0.000E+00	0.000E+00	0.000E+00	0.301E-08	0.368E-07	0.208E-08	0.212E-10	0.427E-09
148.249	32.0	0.000E+00	0.000E+00	0.000E+00	0.332E-07	0.215E-06	0.765E-08	0.284E-09	0.266E-08
149.492	33.0	0.000E+00	0.000E+00	0.000E+00	0.322E-06	0.115E-05	0.267E-07	0.319E-08	0.154E-07
150.734	34.0	0.000E+00	0.000E+00	0.000E+00	0.272E-05	0.562E-05	0.890E-07	0.300E-07	0.818E-07
151.977	35.0	0.000E+00	0.000E+00	0.000E+00	0.190E-04	0.235E-04	0.275E-06	0.227E-06	0.376E-06
153.219	36.0	0.000E+00	0.000E+00	0.156E-08	0.976E-04	0.763E-04	0.743E-06	0.125E-05	0.134E-05
154.462	37.0	0.000E+00	0.000E+00	0.539E-07	0.352E-03	0.184E-03	0.169E-05	0.472E-05	0.348E-05
155.704	38.0	0.000E+00	0.000E+00	0.677E-06	0.961E-03	0.350E-03	0.327E-05	0.135E-04	0.698E-05
156.946	39.0	0.000E+00	0.000E+00	0.473E-05	0.217E-02	0.558E-03	0.568E-05	0.316E-04	0.117E-04
158.189	40.0	0.000E+00	0.000E+00	0.236E-04	0.432E-02	0.793E-03	0.974E-05	0.654E-04	0.174E-04
159.431	41.0	0.000E+00	0.000E+00	0.947E-04	0.789E-02	0.103E-02	0.181E-04	0.123E-03	0.236E-04
160.674	42.0	0.000E+00	0.000E+00	0.324E-03	0.134E-01	0.125E-02	0.381E-04	0.213E-03	0.299E-04
161.916	43.0	0.000E+00	0.000E+00	0.964E-03	0.212E-01	0.142E-02	0.854E-04	0.338E-03	0.356E-04
163.159	44.0	0.000E+00	0.345E-08	0.254E-02	0.314E-01	0.153E-02	0.189E-03	0.498E-03	0.402E-04
